time	acc_x	acc_y	acc_z	gyro_x	gyro_y	gyro_z	tilt_x	tilt_y	tilt_z
1404312051.47000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.48000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.49000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.51000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.52000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.53000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.54000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.55000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.56000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.57000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.58000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.59000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.60000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.61000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.62000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.63000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.64000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.65000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.66000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.67000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.68000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.69000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.70000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.71000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.72000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.73000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.74000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.75000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.76000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.78000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.79000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.80000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.81000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.82000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.83000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.84000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.85000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.86000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.87000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.88000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.89000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.90000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.91000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.92000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.94000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.95000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.96000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.97000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.98000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312051.99000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000	        0.00000
1404312052.00000	        0.00000	        0.00000	        0.00000	     -972.50900	      148.35000	    -1052.39900	        0.00000	        0.00000	        0.00000
1404312052.01000	        0.00000	        0.00000	        0.00000	     -972.50900	      148.35000	    -1052.39900	      134.39000	       28.63000	       29.90000
1404312052.02000	      -82.83000	     -144.02000	      227.30000	    -1677.50900	     -266.65000	    -1298.39900	      128.87000	       29.93000	       15.28000
1404312052.03000	      -47.89000	     -126.86000	      232.99000	     -609.50900	     -174.65000	     -741.39900	      125.69000	       29.65000	        7.40000
1404312052.04000	      -47.89000	     -126.86000	      232.99000	     -133.50900	     -343.65000	     -465.39900	      123.15000	       28.93000	        0.89000
1404312052.05000	      -54.10000	      -67.83000	      247.20000	     -133.50900	     -343.65000	     -465.39900	      123.15000	       28.93000	        0.89000
1404312052.06000	      -54.10000	      -67.83000	      247.20000	      645.49100	     -234.65000	      374.60100	      122.74000	       27.07000	       -3.21000
1404312052.07000	      -54.10000	      -67.83000	      247.20000	      645.49100	     -234.65000	      374.60100	      122.74000	       27.07000	       -3.21000
1404312052.08000	      -45.56000	        6.98000	      250.99000	      645.49100	     -234.65000	      374.60100	      122.74000	       27.07000	       -3.21000
1404312052.09000	      -45.56000	        6.98000	      250.99000	      665.49100	     -171.65000	      739.60100	      124.45000	       25.21000	       -4.73000
1404312052.10000	      -58.76000	       22.77000	      253.83000	      665.49100	     -171.65000	      739.60100	      124.45000	       25.21000	       -4.73000
1404312052.11000	      -58.76000	       22.77000	      253.83000	      665.49100	     -171.65000	      739.60100	      124.45000	       25.21000	       -4.73000
1404312052.12000	      -58.76000	       22.77000	      253.83000	      500.49100	     -193.65000	      981.60100	      124.45000	       25.21000	       -4.73000
1404312052.14000	      -47.89000	       31.01000	      262.36000	      500.49100	     -193.65000	      981.60100	      128.19000	       23.60000	       -2.85000
1404312052.15000	      -47.89000	       31.01000	      262.36000	      500.49100	     -193.65000	      981.60100	      128.19000	       23.60000	       -2.85000
1404312052.16000	      -47.89000	       31.01000	      262.36000	      143.49100	     -170.65000	      818.60100	      131.91000	       22.42000	       -1.46000
1404312052.17000	      -47.89000	       31.01000	      262.36000	      143.49100	     -170.65000	      818.60100	      131.91000	       22.42000	       -1.46000
1404312052.18000	      -45.56000	       13.16000	      260.46000	      -93.50900	     -318.65000	      658.60100	      131.91000	       22.42000	       -1.46000
1404312052.19000	      -45.56000	       13.16000	      260.46000	      -93.50900	     -318.65000	      658.60100	      135.24000	       20.62000	       -0.64000
1404312052.20000	      -36.24000	       16.59000	      261.41000	      -93.50900	     -318.65000	      658.60100	      135.24000	       20.62000	       -0.64000
1404312052.21000	      -36.24000	       16.59000	      261.41000	     -272.50900	     -325.65000	      361.60100	      135.24000	       20.62000	       -0.64000
1404312052.22000	      -36.24000	       16.59000	      261.41000	     -272.50900	     -325.65000	      361.60100	      137.87000	       18.93000	       -1.25000
1404312052.23000	      -33.13000	        6.30000	      253.83000	     -272.50900	     -325.65000	      361.60100	      137.87000	       18.93000	       -1.25000
1404312052.24000	      -33.13000	        6.30000	      253.83000	     -427.50900	     -379.65000	       73.60100	      139.76000	       17.22000	       -2.11000
1404312052.25000	      -33.13000	        6.30000	      253.83000	     -427.50900	     -379.65000	       73.60100	      139.76000	       17.22000	       -2.11000
1404312052.26000	      -26.92000	      -39.69000	      259.52000	     -427.50900	     -379.65000	       73.60100	      139.76000	       17.22000	       -2.11000
1404312052.27000	      -26.92000	      -39.69000	      259.52000	     -491.50900	     -448.65000	     -147.39900	      141.36000	       15.42000	       -3.60000
1404312052.28000	      -12.16000	      -51.36000	      256.67000	     -491.50900	     -448.65000	     -147.39900	      141.36000	       15.42000	       -3.60000
1404312052.29000	      -12.16000	      -51.36000	      256.67000	     -179.50900	     -507.65000	     -262.39900	      141.36000	       15.42000	       -3.60000
